brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price
BenQ,GW2760HS,27.0,1920 x 1080,60,4,VA,16:9,
iiyama,G-MASTER SILVER CROW,27.0,2560 x 1440,75,1,TN,16:9,382.99
Philips,328E1CA,31.5,3840 x 2160,60,4,VA,16:9,
ViewSonic,XG2703-GS,27.0,2560 x 1440,165,,IPS,16:9,986.13
Dell,E1916H,18.5,1366 x 768,60,5,TN,16:9,79.98
BenQ,GL2250HM,21.5,1920 x 1080,60,2,TN,16:9,
Dell,U2715H,27.0,2560 x 1440,60,8,IPS,16:9,
Asus,VP247H-P,23.6,1920 x 1080,60,1,TN,16:9,
LG,27BK67U-B,27.0,3840 x 2160,60,5,IPS,16:9,334.94
LG,34BL650-B,34.0,2560 x 1080,75,5,IPS,21:9,322.99
Acer,KG281K bmiipx,28.0,3840 x 2160,60,1,TN,16:9,479.00
Dell,P2217H,21.5,1920 x 1080,60,6,IPS,16:9,153.49
Acer,KG241 Pbmidpx,24.0,1920 x 1080,144,1,TN,16:9,
Dell,UP3216Q,31.5,3840 x 2160,60,6,IPS,16:9,1577.76
AOC,Q2790PQU/BT,27.0,2560 x 1440,60,4,IPS,16:9,
AOC,AG241QG,23.8,2560 x 1440,165,1,TN,16:9,662.00
Dell,U2719DX,27.0,2560 x 1440,60,5,IPS,16:9,354.98
Samsung,U28E850R,28.0,3840 x 2160,60,1,TN,16:9,
BenQ,GL2580H,24.5,1920 x 1080,60,2,TN,16:9,
LG,M2901SCBN,29.0,1366 x 480,,8,IPS,683:240,
Asus,VX228H,21.5,1920 x 1080,60,1,TN,16:9,
Dell,P2815Q,28.0,3840 x 2160,30,5,TN,16:9,
Acer,GF276 Abmipx,27.0,1920 x 1080,75,1,TN,16:9,
Dell,S2740L,27.0,1920 x 1080,60,7,IPS,16:9,
Dell,UP2716D,27.0,2560 x 1440,60,6,IPS,16:9,575.11
HP,22UH,21.5,1920 x 1080,60,5,TN,16:9,119.94
Acer,G246HLAbd,24.0,1920 x 1080,60,5,TN,16:9,310.66
ViewSonic,VX3258-PC-MHD,31.5,1920 x 1080,165,,VA,16:9,
AOC,AG271QX,27.0,2560 x 1440,144,1,TN,16:9,
AOC,22V2H,21.5,1920 x 1080,75,5,IPS,16:9,
Lenovo,L1900p,19.0,1280 x 1024,,5,,5:4,
Dell,P2417H,23.8,1920 x 1080,60,6,IPS,16:9,249.00
Asus,VC279H,27.0,1920 x 1080,60,5,IPS,16:9,499.00
Asus,VA326H,31.5,1920 x 1080,144,4,VA,16:9,
VIOTEK,GN27DB,27.0,2560 x 1440,144,5,VA,16:9,
Philips,558M1RY/27,55.0,3840 x 2160,120,4,VA,16:9,
LG,32UD60-B,32.0,3840 x 2160,60,4,VA,16:9,398.80
BenQ,PD3200Q,32.0,2560 x 1440,60,4,VA,16:9,399.99
Dell,S2240L,21.5,1920 x 1080,60,7,IPS,16:9,
Acer,R271 bid,27.0,1920 x 1080,60,4,IPS,16:9,223.69
Dell,UP2715K,27.0,5120 x 2880,60,8,IPS,16:9,
Acer,SA230 BI,23.0,1920 x 1080,60,4,IPS,16:9,
LG,24GM77,24.0,1920 x 1080,144,1,TN,16:9,
Dell,U2419HX,23.8,1920 x 1080,60,5,IPS,16:9,149.99
iiyama,ProLite XUB2792QSU-B1,27.0,2560 x 1440,70,5,IPS,16:9,411.93
Samsung,LC27JG52QQNXZA,27.0,2560 x 1440,144,4,VA,16:9,
Asus,MX25AQ,25.0,2560 x 1440,60,5,IPS,16:9,279.95
LG,34UC89G-B,34.0,2560 x 1080,166,5,IPS,21:9,
Samsung,C22F390,22.0,1920 x 1080,60,4,VA,16:9,
BenQ,PD3220U,31.5,3840 x 2160,60,5,IPS,16:9,1199.99
AOC,E2460SH,24.0,1920 x 1080,60,1,TN,16:9,325.00
Acer,ED242QR wi,23.6,1920 x 1080,75,4,VA,16:9,270.00
LG,24GM79G-B,24.0,1920 x 1080,144,1,TN,16:9,
HP,OMEN,32.0,2560 x 1440,75,5,VA,16:9,439.94
Acer,XB240H ABPR,24.0,1920 x 1080,144,1,TN,16:9,
Pixio,PX277-N,27.0,2560 x 1440,144,6,IPS,16:9,
BenQ,ZOWIE XL2546 DIVINA,24.5,1920 x 1080,240,1,TN,16:9,
AOC,G2460FQ,24.0,1920 x 1080,144,1,,16:9,374.00
LG,29UM58-P,29.0,2560 x 1080,75,5,IPS,21:9,599.00
Acer,UM.BV6AA.002,17.0,1280 x 1024,75,5,TN,5:4,103.99
Acer,XB273 Gxbmiipprzx,27.0,1920 x 1080,240,,IPS,16:9,369.00
Samsung,MD230X6,23.0,5760 x 2160,,8,,24:9,
HP,N246v,23.8,1920 x 1080,60,5,IPS,16:9,157.87
ViewSonic,VA2456-mhd,23.8,1920 x 1080,60,5,IPS,16:9,139.99
ViewEra,V157TP,15.0,1024 x 768,,12,,4:3,259.99
Dell,S3219D,32.0,2560 x 1440,60,5,VA,16:9,
HP,EliteDisplay E243p,23.8,1920 x 1080,60,,IPS,16:9,278.95
Asus,VN247H,23.6,1920 x 1080,60,1,TN,16:9,
Pixio,PX276,27.0,2560 x 1440,144,1,TN,16:9,
Samsung,LS27F350FHNXZA,27.0,1920 x 1080,60,4,PLS,16:9,
Acer,V206HQL Cbmp,19.5,1920 x 1080,60,5,VA,16:9,99.99
Acer,SB270 Bbix,27.0,1920 x 1080,75,,IPS,16:9,169.99
Samsung,LC27FG70FQNXZA,27.0,1920 x 1080,144,1,VA,16:9,990.22
AOC,G2770PF,27.0,1920 x 1080,144,1,TN,16:9,
Dell,S2415H,23.8,1920 x 1080,60,6,IPS,16:9,
Philips,242G5DJEB,24.0,1920 x 1080,144,1,TN,16:9,
AOC,AGON AG251FZ2,25.0,1920 x 1080,240,1,TN,16:9,
Planar,PXN2490MW,23.8,2560 x 1440,60,6,IPS,16:9,189.00
LG,27UD88-W,27.0,3840 x 2160,60,5,IPS,16:9,396.99
Acer,V206WQL bd,19.5,1440 x 900,60,6,IPS,16:10,75.00
Asus,VZ279HE,27.0,1920 x 1080,60,5,IPS,16:9,
Dell,P2213,22.0,1680 x 1050,60,5,,16:10,210.63
Philips,345B1C/00,34.0,3440 x 1440,100,5,VA,21:9,
Samsung,S32D850T,32.0,2560 x 1440,60,5,VA,16:9,349.99
Sceptre,E248W-19203S,23.8,1920 x 1080,75,3.5,VA,16:9,
LG,38WK95C-W,37.5,3840 x 1600,60,5,IPS,12:5,979.00
Dell,E2020H,19.5,1600 x 900,60,5,TN,16:9,92.05
Sceptre,E246W-1080P,23.6,1920 x 1080,,2,,16:9,
Dell,U2312HM,23.0,1920 x 1080,,8,IPS,16:9,
Asus,PB278QV,27.0,2560 x 1440,75,5,IPS,16:9,463.54
LG,34WK500-P,34.0,2560 x 1080,75,5,IPS,21:9,349.00
HP,P27h G4,27.0,1920 x 1080,60,5,IPS,16:9,169.00
Asus,Designo MX27UCS,27.0,3840 x 2160,60,5,IPS,16:9,551.69
ViewSonic,VP2468,23.8,1920 x 1080,60,7,IPS,16:9,229.99
Asus,VN248H-P,23.8,1920 x 1080,,5,IPS,16:9,399.00
Lenovo,L24q,23.8,2560 x 1440,60,4,IPS,16:9,
BenQ,PD2720U,27.0,3840 x 2160,60,5,IPS,16:9,1099.99
AOC,U3277PWQU,32.0,3840 x 2160,60,4,,16:9,1312.42
Dell,2007FP,20.0,1600 x 1200,60,16,,4:3,461.49
Acer,K242HL Bbid,24.0,1920 x 1080,60,5,TN,16:9,149.99
BenQ,GW2470H,23.8,1920 x 1080,60,4,VA,16:9,
Asus,VL279HE,27.0,1920 x 1080,75,5,IPS,16:9,
Asus,VS238H-P,23.0,1920 x 1080,,2,,16:9,
Deco Gear,DGVIEW201OB,35.0,3440 x 1440,100,4,VA,21:9,449.95
ViewSonic,VG2860MHL-4K,28.0,3840 x 2160,60,2,TN,16:9,364.99
Asus,SD222-YA,21.5,1920 x 1080,60,,,16:9,99.00
Samsung,CH711,26.9,2560 x 1440,60,4,VA,16:9,1512.00
Dell,1909W,19.0,1440 x 900,60,5,TN,16:10,172.48
Dell,SE2416H,23.8,1920 x 1080,60,6,IPS,16:9,312.28
Dell,E2414H,24.0,1920 x 1080,,5,TN,16:9,
BenQ,ZOWIE XL2536,24.5,1920 x 1080,144,1,TN,16:9,
Acer,S271HLbid,27.0,1920 x 1080,60,5,TN,16:9,
Samsung,S19C150F,18.5,1366 x 768,,5,TN,16:9,
BenQ,EW2780Q,27.0,2560 x 1440,60,5,IPS,16:9,299.99
BenQ,EW2780U,27.0,3840 x 2160,60,5,IPS,16:9,475.99
ViewSonic,VX2485-MHU,24.0,1920 x 1080,75,5,IPS,16:9,159.99
Dell,P2419HC,23.8,1920 x 1080,60,5,IPS,16:9,198.50
LG,34UC80-B,34.0,3440 x 1440,60,5,IPS,21:9,937.99
Samsung,S24E450D,24.0,1920 x 1080,60,5,TN,16:9,149.99
HP,1CA86AA#ABB,23.8,1920 x 1080,60,5,IPS,16:9,
Dell,P4317Q,42.5,3840 x 2160,60,8,IPS,16:9,
Asus,VP279Q-P,27.0,1920 x 1080,60,5,IPS,16:9,209.00
Acer,V206HQLAbmd,19.5,1600 x 900,60,5,TN,16:9,108.94
Acer,GN276HL bid,27.0,1920 x 1080,144,1,TN,16:9,
BenQ,ZOWIE XL2546 DIVINA,24.5,1920 x 1080,240,1,TN,16:9,
Asus,VP28UQGL,28.0,3840 x 2160,60,1,TN,16:9,
ViewSonic,XG2760,27.0,2560 x 1440,165,1,TN,16:9,549.99
Dell,E2720HS,27.0,1920 x 1080,60,5,IPS,16:9,196.73
Acer,V246HQL Cbd,23.6,1920 x 1080,60,5,TN,16:9,109.00
Acer,K242HL bmidx,24.0,1920 x 1080,60,5,TN,16:9,119.99
AOC,Q2778VQE,27.0,2560 x 1440,60,1,TN,16:9,
AOC,I2279VWHE,21.5,1920 x 1080,60,5,IPS,16:9,
ViewSonic,XG2702,27.0,1920 x 1080,144,1,TN,16:9,
Asus,VA32UQ,31.5,3840 x 2160,60,4,VA,16:9,379.00
Dell,SE2419H,23.8,1920 x 1080,60,5,IPS,16:9,189.94
HP,OMEN X 35,35.0,3440 x 1440,100,4,VA,21:9,
ViewSonic,VA2256-MHD,21.5,1920 x 1080,60,7,IPS,16:9,124.99
Acer,XR382CQK bmijqphuzx,37.5,3840 x 1600,75,5,IPS,12:5,
Dell,P170S,17.0,1280 x 1024,60,5,,5:4,161.98
LG,34GK950G,34.0,3440 x 1440,120,5,IPS,21:9,
Acer,XB270HU bprz,27.0,2560 x 1440,144,4,IPS,16:9,
Lenovo,65D9GAC4EU,24.5,1920 x 1080,144,1,TN,16:9,
ViewSonic,VX2757-mhd,27.0,1920 x 1080,,2,TN,16:9,164.99
Lenovo,Y44w-10,43.4,3840 x 1200,120,4,VA,16:5,849.99
Acer,G257HU smidpx,25.0,2560 x 1440,60,4,IPS,16:9,
Dell,SE2216HV,21.5,1920 x 1080,60,12,VA,16:9,114.02
Acer,ED242QR,23.6,1920 x 1080,75,4,VA,16:9,
Acer,K272HL,27.0,1920 x 1080,60,4,IPS,16:9,432.82
Lenovo,L27q,27.0,2560 x 1440,60,4,IPS,16:9,399.95
Nixeus,NX-EDG27 v2,27.0,2560 x 1440,144,4,IPS,16:9,379.73
Acer,V277 bmipx,27.0,1920 x 1080,75,4,IPS,16:9,189.00
Acer,BW257 bmiprx,25.0,1920 x 1200,75,4,IPS,16:10,195.99
iiyama,ProLite XUB2792QSU-W1,27.0,2560 x 1440,70,5,IPS,16:9,442.82
Dell,S2719DM,27.0,2560 x 1440,60,5,IPS,16:9,399.59
AOC,27V2H,27.0,1920 x 1080,75,5,IPS,16:9,199.99
Asus,VA32AQ,31.5,2560 x 1440,60,5,IPS,16:9,348.50
Hannspree,HE225DPB,21.5,1920 x 1080,,5,,16:9,
Philips,278E9QJAB,27.0,1920 x 1080,75,4,VA,16:9,
MSI,Oculux NXG251R,24.5,1920 x 1080,240,1,TN,16:9,
HP,2311x,23.0,1920 x 1080,,5,,16:9,
Samsung,S22D300HY,21.5,1920 x 1080,60,5,TN,16:9,
MSI,Optix MAG272R,27.0,1920 x 1080,165,,VA,16:9,
Dell,U2412M,24.0,1920 x 1200,60,8,IPS,16:10,289.99
HP,Z32,31.5,3840 x 2160,60,,IPS,16:9,699.00
Dell,UP2718Q,27.0,3840 x 2160,60,4,IPS,16:9,1300.00
BenQ,GW2270H,21.5,1920 x 1080,60,5,VA,16:9,179.72
LG,38BK95C-W,37.5,3840 x 1600,60,5,IPS,12:5,1869.50
Dell,P2414H,23.8,1920 x 1080,60,8,IPS,16:9,314.23
Asus,VG278H,27.0,1920 x 1080,120,2,,16:9,
Dell,S2715H,27.0,1920 x 1080,60,6,IPS,16:9,
HP,24UH,24.0,1920 x 1080,60,5,TN,16:9,
LG,27MP58VQ-P,27.0,1920 x 1080,60,5,IPS,16:9,
HP,23ES,23.0,1920 x 1080,60,7,IPS,16:9,399.00
VIOTEK,NB24CB,24.0,1920 x 1080,75,5,VA,16:9,
AOC,AG352UCG6,35.0,3440 x 1440,120,4,VA,21:9,
Samsung,UH850,31.5,3840 x 2160,60,4,VA,16:9,479.99
HP,27sv,27.0,1920 x 1080,60,7,IPS,16:9,218.00
Dell,D3218HN,31.5,1920 x 1080,60,8,IPS,16:9,
Philips,221B8LJEB/27,21.5,1920 x 1080,60,1,TN,16:9,149.98
Dell,E2416H,24.0,1920 x 1080,60,5,TN,16:9,349.00
AOC,i2367Fh,23.0,1920 x 1080,60,5,IPS,16:9,
HP,25xw,25.0,1920 x 1080,60,7,IPS,16:9,
Acer,B277 bmiprzx,27.0,1920 x 1080,75,4,IPS,16:9,199.99
Asus,C624AQ,23.8,1920 x 1080,60,5,IPS,16:9,125.54
Dell,S2319HN,23.0,1920 x 1080,60,5,IPS,16:9,
HP,Z27,27.0,3840 x 2160,60,8,IPS,16:9,508.95
Samsung,UH750,31.5,3840 x 2160,60,4,,16:9,1768.00
HP,27xw,27.0,1920 x 1080,60,8,IPS,16:9,277.27
Dell,U3417W,34.0,3440 x 1440,60,5,IPS,21:9,1292.44
Asus,VN248Q-P,23.8,1920 x 1080,60,5,IPS,16:9,
Lenovo,L27m-28,27.0,1920 x 1080,,4,IPS,16:9,199.99
Asus,VS229H-P,21.5,1920 x 1080,,5,IPS,16:9,319.58
Dell,P2715Q,27.0,3840 x 2160,60,6,IPS,16:9,
Dell,U2410,24.0,1920 x 1200,,6,IPS,16:10,
LG,22MP55HQ-P,22.0,1920 x 1080,60,5,IPS,16:9,
AOC,C4008VU8,40.0,3840 x 2160,60,5,VA,16:9,
Samsung,T220,22.0,1680 x 1050,60,2,TN,16:10,
Acer,XF240YU bmiidprzx,23.8,2560 x 1440,144,1,TN,16:9,
ViewSonic,VX2276-SMHD,21.5,1920 x 1080,60,7,IPS,16:9,129.99
iiyama,G-MASTER GOLD PHOENIX,28.0,3840 x 2160,60,1,TN,16:9,569.70
ViewSonic,VA2756-MHD,27.0,1920 x 1080,60,7,IPS,16:9,189.99
Acer,B246HLymdr,24.0,1920 x 1080,60,5,TN,16:9,128.25
Samsung,S24E650DW,24.0,1920 x 1200,60,4,PLS,16:10,204.24
Dell,E2318HE,23.0,1920 x 1080,60,5,IPS,16:9,135.00
Dell,S2817Q,28.0,3840 x 2160,60,2,TN,16:9,479.99
Asus,VZ27AQ,27.0,2560 x 1440,75,5,IPS,16:9,
Acer,V246HL Bmid,24.0,1920 x 1080,60,5,TN,16:9,137.90
Asus,PA329Q,32.0,3840 x 2160,60,5,IPS,16:9,
AOC,i2267Fw,22.0,1920 x 1080,60,5,IPS,16:9,
ViewSonic,VX2880ml,28.0,3840 x 2160,30,5,TN,16:9,
NEC,MD213MC,21.3,2048 x 1536,,12,,4:3,
Cooler Master,GM27-CF,27.0,1920 x 1080,165,3,,16:9,
Acer,H226HQLbid,21.5,1920 x 1080,60,5,IPS,16:9,
Dell,P2214H,21.5,1920 x 1080,60,8,IPS,16:9,
Acer,S240HL Abid,24.0,1920 x 1080,60,5,TN,16:9,
Samsung,S27E310H,27.0,1920 x 1080,60,1,TN,16:9,
QNIX,QX3218R 165 Curved Captain,32.0,1920 x 1080,144,1,VA,16:9,
Kogan,KAMN27CQ1LA,27.0,2560 x 1440,144,5,VA,16:9,
AOC,G2778VQ,27.0,1920 x 1080,75,1,TN,16:9,489.00
Acer,V246HYL Dbid,23.8,1920 x 1080,60,5,IPS,16:9,128.99
iiyama,Prolite XUB2792UHSU-B1,27.0,3840 x 2160,60,4,IPS,16:9,
Asus,VS208N-P,20.0,1600 x 900,,5,,16:9,115.94
Samsung,S24H850,23.8,2560 x 1440,60,5,PLS,16:9,304.98
Dell,U2713HM,27.0,2560 x 1440,60,8,IPS,16:9,545.99
Samsung,C49J890DKE,48.9,3840 x 1080,144,5,VA,32:9,
HP,L1506x,15.0,1024 x 768,75,8,,4:3,
Dell,S2340L,23.0,1920 x 1080,60,7,IPS,16:9,269.99
BenQ,XL2420Z,24.0,1920 x 1080,144,1,TN,16:9,
Samsung,U28D590D,28.0,3840 x 2160,60,1,TN,16:9,
BenQ,RL2460HT,24.0,1920 x 1080,60,1,TN,16:9,
BenQ,GW2265HM,21.5,1920 x 1080,60,6,VA,16:9,
Asus,VG278HV,27.0,1920 x 1080,144,1,TN,16:9,
Titan Army,C34SW,34.0,3440 x 1440,100,,VA,21:9,
Philips,226E9QDSB/27,21.5,1920 x 1080,75,4,IPS,16:9,
Acer,B277 bmiprx,27.0,1920 x 1080,75,6,IPS,16:9,180.63
Lenovo,ThinkVision T27h-20,27.0,2560 x 1440,60,,IPS,16:9,259.00
NEC,EA244UHD-BK,24.0,3840 x 2160,60,6,IPS,16:9,1499.95
Asus,PB258Q,25.0,2560 x 1440,60,5,IPS,16:9,
LG,29UB67-B,29.0,2560 x 1080,75,5,IPS,21:9,309.99
Acer,Predator Z301C,30.0,2560 x 1080,200,4,VA,21:9,
LG,29UM59-P,29.0,2560 x 1080,75,5,IPS,21:9,
VIOTEK,GN34CB,34.0,3440 x 1440,100,4,VA,21:9,
Asus,MX239H,23.0,1920 x 1080,,5,IPS,16:9,
Pixio,PX5 Hayabusa,24.5,1920 x 1080,240,1,TN,16:9,
LG,27UK600-W,27.0,3840 x 2160,60,5,IPS,16:9,
Dell,E2420H,23.8,1920 x 1080,60,5,IPS,16:9,152.98
Samsung,LS22E20KBSV/GO,21.5,1920 x 1080,60,5,TN,16:9,
Asus,VX279C,27.0,1920 x 1080,75,5,IPS,16:9,
Samsung,S27D590C,27.0,1920 x 1080,60,4,VA,16:9,299.99
Dell,E2414HM,24.0,1920 x 1080,60,5,TN,16:9,199.99
LG,27MP33HQ,27.0,1920 x 1080,60,5,IPS,16:9,314.28
Acer,S220HQLAbd,21.5,1920 x 1080,60,5,TN,16:9,199.97
Philips,243V5LSB,23.6,1920 x 1080,60,5,TN,16:9,
HP,S2031,20.0,1600 x 900,,5,,16:9,
Asus,VG278HE,27.0,1920 x 1080,144,2,,16:9,
AOC,I2269VW,21.5,1920 x 1080,60,5,IPS,16:9,
Samsung,S24D590PL,23.6,1920 x 1080,60,5,TN,16:9,
LG,19M37D-B,18.5,1366 x 768,60,5,TN,16:9,
HP,W2207H,22.0,1680 x 1050,60,,TN,16:10,
VIOTEK,GN32DR,31.5,2560 x 1440,144,3,VA,16:9,
MSI,Optix MPG27C,27.0,1920 x 1080,144,1,VA,16:9,
LG,LC24RG50FQNXZA,23.5,1920 x 1080,144,4,VA,16:9,
AOC,AG322QC4,31.5,2560 x 1440,144,4,VA,16:9,
Acer,BM270 bmiipphuzx,27.0,3840 x 2160,60,4,IPS,16:9,1116.57
LG,32BL95U-W,31.5,3840 x 2160,60,5,IPS,16:9,976.99
Acer,CB271HU bmidprx,27.0,2560 x 1440,60,4,IPS,16:9,399.99
Asus,VT168H,15.6,1366 x 768,60,10,,16:9,169.99
Dell,UP3017,30.0,2560 x 1600,60,6,IPS,16:10,839.00
ViewSonic,VP2768,27.0,2560 x 1440,60,14,IPS,16:9,329.99
Dell,UP2516D,25.0,2560 x 1440,60,6,IPS,16:9,449.39
LG,29UM68-P,29.0,2560 x 1080,60,5,IPS,21:9,653.41
HP,T3M84AA#ABA,25.0,1920 x 1080,60,6,IPS,16:9,
Asus,VS197D-P,18.5,1366 x 768,,5,,16:9,106.20
Acer,XB271HK,27.0,3840 x 2160,60,4,IPS,16:9,
Samsung,S22C150N,21.5,1920 x 1080,,5,TN,16:9,129.99
Dell,E2318H,23.0,1920 x 1080,60,5,IPS,16:9,151.88
Acer,S241HL bmid,24.0,1920 x 1080,60,5,TN,16:9,
Asus,VG236H,23.0,1920 x 1080,120,2,,16:9,
Dell,S2340M,23.0,1920 x 1080,60,7,IPS,16:9,
AOC,G2770PQU,27.0,1920 x 1080,144,1,TN,16:9,
Samsung,U24E590D,23.6,3840 x 2160,60,4,PLS,16:9,
Philips,322M7C/75,31.5,1920 x 1080,144,1,VA,16:9,
Lenovo,ThinkVision T24i-19,23.8,1920 x 1080,60,6,IPS,16:9,263.00
Dell,U2721DE,27.0,2560 x 1440,60,5,IPS,16:9,579.99
V7,"V7 L238DPH-2NH 23.8"" Full HD LED LCD Monitor - 16:9",23.8,1920 x 1080,60,5,IPS,16:9,137.99
Acer,B226HQL ymiprx,21.5,1920 x 1080,60,5,TN,16:9,120.31
ViewSonic,VG2455,24.0,1920 x 1080,60,5,IPS,16:9,219.99
ViewSonic,VP2458,23.8,1920 x 1080,60,7,IPS,16:9,199.99
Acer,X223WDbd,22.0,1680 x 1050,,5,,16:10,
AOC,I2781FH,27.0,1920 x 1080,60,5,IPS,16:9,320.00
Asus,VP239H-P,23.0,1920 x 1080,60,5,IPS,16:9,
Samsung,S24E310HL,23.6,1920 x 1080,60,8,TN,16:9,
Dell,P1913,19.0,1400 x 900,60,5,,16:10,176.99
Asus,VN247H-P,23.6,1920 x 1080,,1,,16:9,
Asus,VX238H-W,23.0,1920 x 1080,,1,TN,16:9,
Acer,XB270H Abprz,27.0,1920 x 1080,144,1,TN,16:9,
Wasabi Mango,UHD420,42.0,3840 x 2160,60,5,IPS,16:9,
HP,22es,21.5,1920 x 1080,60,7,IPS,16:9,
Dell,UltraSharp 2209WA,22.0,1680 x 1050,60,,IPS,16:10,
iiyama,G-Master GB3266QSU-B1,31.5,2560 x 1440,144,,VA,16:9,
LG,32QK500-W,32.0,2560 x 1440,75,8,IPS,16:9,309.94
HP,Z27n G2,27.0,2560 x 1440,75,6,IPS,16:9,359.00
Asus,PA328Q,32.0,3840 x 2160,60,6,IPS,16:9,1614.86
LG,34UM88-P,34.0,3440 x 1440,60,5,IPS,21:9,
LG,34UB88-P,34.0,3440 x 1440,75,5,IPS,21:9,999.15
Dell,U2719DC,27.0,2560 x 1440,60,5,IPS,16:9,614.98
NEC,PA302W,30.0,2560 x 1600,,6,IPS,16:10,2999.00
BenQ,G2420HDBL,24.0,1920 x 1080,,5,TN,16:9,
LG,W1943SE-PF,19.0,1366 x 768,,5,,16:9,
Asus,VX279Q,27.0,1920 x 1080,60,5,IPS,16:9,
BenQ,GL2450HT,24.0,1920 x 1080,60,5,TN,16:9,
Eizo,CG277-BK,27.0,2560 x 1440,60,6,IPS,16:9,
HP,27vx,27.0,1920 x 1080,60,7,IPS,16:9,
LG,29UM68,29.0,2560 x 1080,75,5,IPS,21:9,
LG,29UC88-B,29.0,2560 x 1080,75,5,IPS,21:9,
Acer,XR342CK,34.0,3440 x 1440,75,5,IPS,21:9,
Dell,S2218H,21.5,1920 x 1080,60,6,IPS,16:9,
Samsung,C32JG50,32.0,2560 x 1440,144,4,VA,16:9,
Dell,E2220H,21.5,1920 x 1080,60,5,TN,16:9,114.00
HP,27q,27.0,2560 x 1440,60,5,PLS,16:9,289.99
LG,27BL65U-W,27.0,3840 x 2160,60,5,IPS,16:9,500.00
Samsung,C34H890WJN,34.0,3440 x 1440,100,4,VA,21:9,999.00
Acer,V196L Bbmd,19.0,1280 x 1024,60,5,IPS,5:4,105.99
Samsung,CH711,32.0,2560 x 1440,60,4,VA,16:9,1696.77
Dell,E1715S,17.0,1280 x 1024,60,5,TN,5:4,145.75
BenQ,SW270C,27.0,2560 x 1440,60,5,IPS,16:9,788.81
Acer,R221Q,21.5,1920 x 1080,60,4,IPS,16:9,
BenQ,BL2711U,27.0,3840 x 2160,60,4,IPS,16:9,
BenQ,BL2483,24.0,1920 x 1080,60,1,TN,16:9,
Dell,E1910H,18.5,1360 x 768,,5,TN,16:9,
Acer,S230HLAbii,23.0,1920 x 1080,,5,TN,16:9,
Samsung,S24B300EL,23.6,1920 x 1080,,5,TN,16:9,
BenQ,XL2411T,24.0,1920 x 1080,144,5,TN,16:9,
Acer,K272HULbmiidp,27.0,2560 x 1440,60,6,IPS,16:9,
LG,31MU97Z-B,31.0,4096 x 2160,60,5,IPS,256:135,
LG,24MP59HT-P,23.8,1920 x 1080,75,5,IPS,16:9,
Acer,KA241 bid,24.0,1920 x 1080,60,5,TN,16:9,
Acer,ED322Q wmidx,31.5,1920 x 1080,60,4,VA,16:9,
Sony,FWD48W650D,47.6,1920 x 1080,60,,VA,16:9,
Fox Spirit,PGM340,34.0,3440 x 1440,100,,VA,21:9,
ViewSonic,VG3448,34.0,3440 x 1440,60,5,VA,21:9,499.99
Acer,V246HYL Cbi,23.8,1920 x 1080,60,5,IPS,16:9,114.23
Philips,328P6VUBREB,31.5,3840 x 2160,60,4,VA,16:9,838.00
ViewSonic,VP3481,34.0,3440 x 1440,100,5,VA,21:9,619.99
Acer,CB281HK,28.0,3840 x 2160,60,1,TN,16:9,413.99
Asus,BE24EQK,23.8,1920 x 1080,60,5,IPS,16:9,
Acer,B286HK ymjdpprz,28.0,3840 x 2160,60,2,TN,16:9,399.94
Asus,MX27AQ,27.0,2560 x 1440,60,5,IPS,16:9,
Acer,UM.BV6AA.003,17.0,1280 x 1024,75,5,TN,5:4,112.99
HP,EliteDisplay E233,23.0,1920 x 1080,60,5,IPS,16:9,199.00
Asus,ProArt PA32UC,32.0,3840 x 2160,60,5,IPS,16:9,
Dell,U2311H,23.0,1920 x 1080,60,8,IPS,16:9,306.41
Acer,Predator XR341CK,34.0,3440 x 1440,75,4,IPS,21:9,
Samsung,S34E790C,34.0,3440 x 1440,60,4,VA,21:9,
AOC,C3583FQ,35.0,2560 x 1080,160,4,VA,21:9,
AOC,AG352UCG,35.0,3440 x 1440,100,4,VA,21:9,
Samsung,B2030,20.0,1600 x 900,,5,,16:9,
Asus,VH236H,23.0,1920 x 1080,,2,,16:9,
HP,LP2475w,24.0,1920 x 1200,,6,IPS,16:10,
Samsung,S22C300H,21.5,1920 x 1080,,5,TN,16:9,
Samsung,S24B150BL,23.6,1920 x 1080,,5,TN,16:9,
Dell,P2314H,23.0,1920 x 1080,60,8,IPS,16:9,
Acer,G237HLbi,23.0,1920 x 1080,60,6,IPS,16:9,
AOC,G2460PQU,24.0,1920 x 1080,144,1,TN,16:9,
Samsung,S27D360H,27.0,1920 x 1080,60,5,TN,16:9,
Samsung,SMT-4032,40.0,1920 x 1080,60,8,,16:9,
Asus,MG24UQ,23.6,3840 x 2160,60,4,IPS,16:9,
HP,w2408h,24.0,1920 x 1200,60,5,,16:10,
Acer,Predator Z301CT,29.5,2560 x 1080,200,4,VA,21:9,
Samsung,LS32R750UENXZA,31.5,3840 x 2160,60,4,VA,16:9,
LG,24MC57HQ-P,23.8,1920 x 1080,60,5,IPS,16:9,149.99
Acer,B247W bmiprzx,23.8,1920 x 1200,75,4,IPS,16:10,199.61
HP,Envy 27,27.0,3840 x 2160,60,14,IPS,16:9,429.99
Asus,CG32UQ,31.5,3840 x 2160,60,5,VA,16:9,
Dell,U2419HC,23.8,1920 x 1080,55,5,IPS,16:9,399.99
