brand,model,capacity,price_per_gb,type,cache,form_factor,interface,price
MyDigitalSSD,Super Boot Drive,128 GB,,SSD,,M.2-2242,M.2 (B+M),
Seagate,NAS HDD,4 TB,$0.088,5400RPM,64,"3.5""",SATA 6 Gb/s,351.28
Toshiba,PH3500U-1I72,5 TB,,7200RPM,128,"3.5""",SATA 6 Gb/s,
Samsung,Data Center,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Intel,DC S3710,400 GB,$0.898,SSD,,"2.5""",SATA 6 Gb/s,359.25
Hitachi,Ultrastar 7K6000,6 TB,,7200RPM,128,"3.5""",SATA 6 Gb/s,
PNY,CS1111,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Samsung,850 EVO,250 GB,,SSD,,mSATA,mSATA,
Mushkin,Reactor,256 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Western Digital,PurpleNV,6 TB,,5400RPM,64,"3.5""",SATA 6 Gb/s,
Patriot,Ignite,240 GB,,SSD,256,"2.5""",SATA 6 Gb/s,
Seagate,Surveillance HDD,4 TB,,5900RPM,64,"3.5""",SATA 6 Gb/s,
PNY,CS1211,480 GB,$0.395,SSD,,"2.5""",SATA 6 Gb/s,189.62
SanDisk,Z400s,256 GB,,SSD,,M.2-2280,M.2 (B+M),
Toshiba,HDWA130XZSTA,3 TB,,5700RPM,64,"3.5""",SATA 6 Gb/s,
PNY,CS2211,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Kingston,FURY,480 GB,$0.394,SSD,,"2.5""",SATA 6 Gb/s,189.00
OCZ,RD400A,256 GB,,SSD,,PCI-E,PCIe x4,
MyDigitalSSD,BPX,512 GB,,SSD,,M.2-2280,M.2 (M),
Intel,Pro 5400s,480 GB,$0.287,SSD,,"2.5""",SATA 6 Gb/s,138.00
Team,T-Force Cardea,480 GB,,SSD,,M.2-2280,M.2 (M),
Toshiba,OCZ TR200,960 GB,,SSD,,"2.5""",SATA 6 Gb/s,
MyDigitalSSD,SBX,128 GB,,SSD,,M.2-2280,M.2 (M),
Toshiba,Q300,960 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Team,L5 LITE,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,SkyHawk,14 TB,,7200RPM,256,"3.5""",SATA 6 Gb/s,
MyDigitalSSD,BPX Pro,240 GB,,SSD,,M.2-2280,M.2 (M),
Seagate,Enterprise Capacity,4 TB,$0.043,7200RPM,128,"3.5""",SATA 6 Gb/s,170.31
Seagate,Nytro Enterprise,240 GB,$0.491,SSD,,"2.5""",SATA 6 Gb/s,117.95
Micron,2200,256 GB,,SSD,,M.2-2280,M.2 (M),
Seagate,Nytro XM1440,800 GB,,SSD,,M.2-2280,M.2 (M),
Samsung,PM863,960 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Intel,Pro 7600p,512 GB,,SSD,,M.2-2280,M.2 (M),
VisionTek,PRO,500 GB,$0.158,SSD,,"2.5""",SATA 6 Gb/s,78.87
Seagate,Enterprise Capacity,10 TB,$0.028,7200RPM,256,"3.5""",SAS 12 Gb/s,280.67
VisionTek,PRO XPN,2 TB,$0.173,SSD,,M.2-2280,M.2 (M),345.78
Seagate,Enterprise Performance,1.8 TB,$0.105,10000RPM,256,"3.5""",SAS 12 Gb/s,188.51
Intel,Pro 5400s,120 GB,$4.375,SSD,,"2.5""",SATA 6 Gb/s,525.00
Seagate,Nytro Enterprise,1.92 TB,$0.199,SSD,,"2.5""",SATA 6 Gb/s,382.00
Toshiba,AL13SEB600,600 GB,$0.079,10500RPM,64,"2.5""",SAS 6 Gb/s,47.62
Western Digital,CaviarSE,250 GB,$0.180,7200RPM,8,"3.5""",PATA 100,44.99
Intel,Optane 905 Series,480 GB,,SSD,,"2.5""",U.2,
Kingston,SSDNOW DC500M,960 GB,$0.194,SSD,,"2.5""",SATA 6 Gb/s,186.71
VisionTek,PRO HXS,250 GB,$0.215,SSD,,"2.5""",SATA 6 Gb/s,53.67
VisionTek,PRO HXS,1 TB,$0.163,SSD,,"2.5""",SATA 6 Gb/s,163.41
Centon,MP Essential,120 GB,$0.458,SSD,,"2.5""",SATA 6 Gb/s,54.99
Western Digital,ScorpioBlue,320 GB,$0.103,5400RPM,8,"2.5""",SATA 3 Gb/s,32.99
OCZ,Vertex 2,50 GB,$2.093,SSD,,"2.5""",SATA 3 Gb/s,104.67
Intel,320 Series,120 GB,$2.112,SSD,,"2.5""",SATA 3 Gb/s,253.50
Intel,530 Series,180 GB,$0.859,SSD,,"2.5""",SATA 6 Gb/s,154.62
IBM,43X0805,300 GB,$0.168,15000RPM,16,"3.5""",SAS 3 Gb/s,50.50
Corsair,Force LX Series,128 GB,,SSD,,"2.5""",SATA 6 Gb/s,
OCZ,Trion 100,960 GB,$0.699,SSD,,"2.5""",SATA 6 Gb/s,671.28
Plextor,M8VC,256 GB,$0.235,SSD,512,"2.5""",SATA 6 Gb/s,60.07
VisionTek,PRO HXS,256 GB,$0.199,SSD,,"2.5""",SATA 6 Gb/s,51.03
Western Digital,CaviarBlue,320 GB,,7200RPM,32,"3.5""",SATA 6 Gb/s,
Hitachi,Deskstar,160 GB,$0.375,7200RPM,8,"3.5""",SATA 3 Gb/s,60.00
Hitachi,Deskstar,1 TB,$0.146,7200RPM,32,"3.5""",SATA 3 Gb/s,145.81
Samsung,Spinpoint F3 EG,1.5 TB,,5400RPM,32,"3.5""",SATA 3 Gb/s,
Samsung,Spinpoint F3,250 GB,$0.420,7200RPM,16,"3.5""",SATA 3 Gb/s,105.00
Samsung,Spinpoint F1 DT,80 GB,,7200RPM,8,"3.5""",SATA 3 Gb/s,
Samsung,Spinpoint F1 RAID,1 TB,,7200RPM,32,"3.5""",SATA 3 Gb/s,
Samsung,Spinpoint M7,120 GB,,5400RPM,8,"2.5""",SATA 3 Gb/s,
Samsung,Spinpoint M7E,500 GB,$0.200,5400RPM,8,"2.5""",SATA 3 Gb/s,99.95
Western Digital,AV-GP,1 TB,,5400RPM,64,"3.5""",SATA 3 Gb/s,
Kingston,SSDNow V100,256 GB,,SSD,,"2.5""",SATA 3 Gb/s,
G.Skill,Phoenix Pro Series,120 GB,,SSD,,"2.5""",SATA 3 Gb/s,
Kingston,SSDNow V+100,512 GB,,SSD,,"2.5""",SATA 3 Gb/s,
Plextor,PX-M2 Series,256 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Toshiba,MK5061GSYN,500 GB,$0.104,7200RPM,16,"2.5""",SATA 3 Gb/s,52.00
Mushkin,Chronos Deluxe,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Kingston,HyperX,240 GB,$2.894,SSD,,"2.5""",SATA 6 Gb/s,694.64
Patriot,Pyro,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Hitachi,Deskstar,2 TB,,7200RPM,32,"3.5""",SATA 3 Gb/s,
Crucial,M4,128 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Hitachi,Travelstar 7K500,500 GB,$0.295,7200RPM,16,"2.5""",SATA 3 Gb/s,147.50
Intel,313 Series,24 GB,,SSD,,"2.5""",SATA 3 Gb/s,
ADATA,Premier Pro SP900,64 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Kingston,HyperX 3K,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Kingston,SSDNow V+200,60 GB,,SSD,,"2.5""",SATA 6 Gb/s,
OCZ,Vertex 4,512 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Toshiba,MK2565GSX,250 GB,,5400RPM,8,"2.5""",SATA 3 Gb/s,
Western Digital,ScorpioBlue,320 GB,,5400RPM,8,"2.5""",SATA 3 Gb/s,
OCZ,Agility 4,128 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Corsair,Neutron Series GTX,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,Momentus XT,500 GB,$0.100,7200RPM,32,"2.5""",SATA 3 Gb/s,49.99
Mushkin,Chronos Deluxe,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Kingston,SSDNow V300 Series,120 GB,$2.250,SSD,,"2.5""",SATA 6 Gb/s,269.99
ADATA,Premier Pro SP600,32 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Intel,335 Series,180 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Samsung,Spinpoint M8,750 GB,,5400RPM,8,"2.5""",SATA 3 Gb/s,
Seagate,Constellation ES.2,3 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Hitachi,Travelstar,1 TB,,5400RPM,8,"2.5""",SATA 6 Gb/s,
Intel,DC S3500 Series,120 GB,$0.833,SSD,,"2.5""",SATA 6 Gb/s,100.00
Intel,SSD DC S3500 Series,600 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Toshiba,Q Series,256 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Toshiba,Q Series,512 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Toshiba,Product Series:MG03ACA,2 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Seagate,Barracuda ES.2,500 GB,,7200RPM,32,"3.5""",SATA 3 Gb/s,
Toshiba,MG03ACA400,4 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Samsung,PM843,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,1200 SSD,800 GB,$3.828,SSD,,"2.5""",SAS 12 Gb/s,3062.50
SanDisk,U110,64 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Crucial,M550,256 GB,,SSD,,M.2-2280,M.2 (B+M),
Seagate,Enterprise,6 TB,,7200RPM,128,"3.5""",SATA 6 Gb/s,
Toshiba,MQ01ABF032H,320 GB,,Hybrid,32,"2.5""",SATA 6 Gb/s,
Intel,Pro 2500,480 GB,$2.451,SSD,,"2.5""",SATA 6 Gb/s,1176.50
Patriot,Blaze,240 GB,,SSD,512,"2.5""",SATA 6 Gb/s,
Mushkin,Chronos,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Silicon Power,S60,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Western Digital,Green,5 TB,,5400RPM,64,"3.5""",SATA 6 Gb/s,
Seagate,ST2000NM0034,2 TB,,7200RPM,128,"3.5""",SATA 6 Gb/s,
Seagate,SV35 Series,3 TB,,5900RPM,64,"3.5""",SATA 6 Gb/s,
Crucial,MX200,500 GB,,SSD,,M.2-2280,M.2 (B+M),
Samsung,XP941 Series,512 GB,,SSD,,M.2-2280,M.2 (M),
G.Skill,Phoenix Blade,960 GB,,SSD,,PCI-E,PCIe x8,
Samsung,Data Center,960 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Kingston,Predator,480 GB,,SSD,,PCI-E,PCIe x4,
ADATA,Premier Pro SP920,1 TB,$0.349,SSD,,"2.5""",SATA 6 Gb/s,349.00
Kingston,Savage,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Kingston,Savage,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
OCZ,Trion 100,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,ST2000NX0303,2 TB,,7200RPM,128,"2.5""",SATA 6 Gb/s,
Mushkin,Reactor TC,2 TB,,SSD,,"2.5""",SATA 6 Gb/s,
MyDigitalSSD,BP5e Slim 7,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
MyDigitalSSD,BP5e Slim 7,1 TB,$0.150,SSD,,"2.5""",SATA 6 Gb/s,149.99
Mushkin,ECO3,120 GB,,SSD,128,"2.5""",SATA 6 Gb/s,
Kingston,SSDNow KC400,256 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Hitachi,LYSB00TQ7YJ4G-ELECTRNCS,2 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Samsung,SM961,512 GB,,SSD,,M.2-2280,M.2 (M),
Plextor,M8Pe,1 TB,,SSD,1024,M.2-2280,M.2 (M),
Plextor,M8Pe,512 GB,,SSD,512,M.2-2280,M.2 (M),
OCZ,RD400A,128 GB,,SSD,,PCI-E,PCIe x4,
Hitachi,Deskstar NAS,8 TB,,7200RPM,128,"3.5""",SATA 6 Gb/s,
ADATA,SU900,512 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Team,L7 EVO,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Team,T-Force Cardea,240 GB,,SSD,,M.2-2280,M.2 (M),
Patriot,Spark,256 GB,,SSD,,"2.5""",SATA 6 Gb/s,
ADATA,XPG SX7000,128 GB,,SSD,,M.2-2280,M.2 (M),
Hitachi,P7K500,500 GB,,7200RPM,8,"3.5""",SATA 3 Gb/s,
Corsair,Force LE,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
VisionTek,PRO,500 GB,$0.198,SSD,,M.2-2280,M.2 (B+M),99.18
Seagate,Enterprise Capacity,12 TB,,7200RPM,256,"3.5""",SATA 6 Gb/s,
Seagate,Desktop,8 TB,,5400RPM,,"3.5""",SATA 6 Gb/s,
Seagate,IronWolf NAS,3.84 TB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,Enterprise Capacity,8 TB,$0.036,7200RPM,256,"3.5""",SAS 12 Gb/s,287.24
Toshiba,HDETS10,6 TB,,7200RPM,,"3.5""",SATA 6 Gb/s,
Mushkin,Enhanced RAW,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
VisionTek,PRO XPN,256 GB,$0.293,SSD,,M.2-2280,M.2 (M),74.98
Zotac,10 Year Anniversary SONIX,480 GB,,SSD,512,PCI-E,PCIe x4,
Angelbird,WRK XT,2 TB,$0.740,SSD,,"2.5""",SATA 6 Gb/s,1479.90
Seagate,Enterprise Capacity,6 TB,$0.037,7200RPM,256,"3.5""",SAS 6 Gb/s,221.95
Seagate,Nytro Enterprise,3.2 TB,$0.250,SSD,,"2.5""",SAS 12 Gb/s,799.99
Intel,DC P4510,4 TB,$0.197,SSD,,"2.5""",U.2,789.69
Patriot,P300,2 TB,$0.125,SSD,,M.2-2280,M.2 (M),249.99
Kingston,SSDNOW DC500M,1.92 TB,$0.190,SSD,,"2.5""",SATA 6 Gb/s,364.41
Intel,DC P3500,2 TB,$0.177,SSD,,"2.5""",U.2,354.44
Seagate,Nytro Enterprise,1.92 TB,$0.682,SSD,,"2.5""",SAS 12 Gb/s,1310.27
Intel,320 Series,40 GB,$1.874,SSD,,"2.5""",SATA 3 Gb/s,74.97
VisionTek,PRO HXS,2 TB,$0.171,SSD,,"2.5""",SATA 6 Gb/s,341.34
Seagate,ST3146356SS-IM,146 GB,$0.329,15000RPM,16,"3.5""",SAS 3 Gb/s,48.00
G.Skill,Phoenix Blade,480 GB,,SSD,,PCI-E,PCIe x8,
Transcend,TS256GMSA370,256 GB,$0.508,SSD,,mSATA,mSATA,129.99
Seagate,ST500VT000,500 GB,,5400RPM,16,"2.5""",SATA 3 Gb/s,
Western Digital,ScorpioBlack,80 GB,$1.562,7200RPM,16,"2.5""",SATA 3 Gb/s,125.00
Corsair,Accelerator Series,45 GB,,SSD,,"2.5""",SATA 3 Gb/s,
Toshiba,P300,500 GB,$0.110,7200RPM,64,"3.5""",SATA 6 Gb/s,54.94
Intel,X25-M,160 GB,$1.244,SSD,,"2.5""",SATA 3 Gb/s,199.00
Samsung,Spinpoint MP4,640 GB,$0.073,7200RPM,16,"2.5""",SATA 3 Gb/s,46.99
Western Digital,CaviarBlue,320 GB,$0.123,7200RPM,16,"3.5""",SATA 3 Gb/s,39.50
Western Digital,CaviarGreen,750 GB,$0.261,5400RPM,64,"3.5""",SATA 3 Gb/s,195.67
Seagate,Constellation CS ISE,1 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Western Digital,Green,1.5 TB,$0.218,5400RPM,64,"2.5""",SATA 3 Gb/s,327.58
Intel,530 Series,480 GB,$0.627,SSD,,"2.5""",SATA 6 Gb/s,301.13
MyDigitalSSD,Bullet Proof 4 Eco,512 GB,$0.410,SSD,,mSATA,mSATA,209.99
Corsair,Force LS,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,Momentus 7200.4,160 GB,$0.187,7200RPM,16,"2.5""",SATA 3 Gb/s,29.99
Kingston,SSDNow G2,480 GB,,SSD,,M.2-2280,M.2 (B+M),
Patriot,Hellfire,480 GB,,SSD,512,M.2-2280,M.2 (M),
Intel,Pro 6000p,1 TB,,SSD,,M.2-2280,M.2 (M),
Western Digital,Purple,8 TB,$0.045,5400RPM,128,"3.5""",SATA 6 Gb/s,359.89
Kingston,UV500,1.92 TB,$0.172,SSD,,"2.5""",SATA 6 Gb/s,329.41
SanDisk,CloudSpeed Ultra Gen. II,800 GB,$0.235,SSD,,"2.5""",SATA 6 Gb/s,188.21
Mushkin,Enhanced RAW,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Intel,D3-S4610,480 GB,$0.304,SSD,,"2.5""",SATA 6 Gb/s,145.99
Intel,DC P4801X,100 GB,,SSD,,"2.5""",U.2,
Western Digital,RE4,1.5 TB,,7200RPM,64,"3.5""",SATA 3 Gb/s,
Western Digital,ScorpioBlack,120 GB,,7200RPM,16,"2.5""",SATA 3 Gb/s,
Western Digital,ScorpioBlue,400 GB,,5400RPM,8,"2.5""",SATA 3 Gb/s,
Western Digital,ScorpioBlue,160 GB,,5400RPM,8,"2.5""",SATA 1.5 Gb/s,
Seagate,Barracuda,1 TB,,5900RPM,32,"3.5""",SATA 3 Gb/s,
Samsung,Spinpoint F1 EG,500 GB,,5400RPM,16,"3.5""",SATA 3 Gb/s,
Samsung,Spinpoint F1 DT,500 GB,,7200RPM,8,"3.5""",SATA 3 Gb/s,
OCZ,Vertex,30 GB,,SSD,,"2.5""",SATA 3 Gb/s,
OCZ,Vertex,60 GB,,SSD,,"2.5""",SATA 3 Gb/s,
OCZ,Vertex,120 GB,,SSD,,"2.5""",SATA 3 Gb/s,
Seagate,Barracuda LP,1.5 TB,$0.130,5900RPM,32,"3.5""",SATA 3 Gb/s,195.00
Samsung,Spinpoint F4,320 GB,,7200RPM,16,"3.5""",SATA 3 Gb/s,
Kingston,SSDNow V+ 100E,128 GB,$2.344,SSD,,"2.5""",SATA 3 Gb/s,299.99
Intel,X25-M,160 GB,$1.250,SSD,,"2.5""",SATA 3 Gb/s,199.95
Corsair,Force,120 GB,,SSD,,"2.5""",SATA 3 Gb/s,
Hitachi,0F10381,500 GB,,7200RPM,16,"3.5""",SATA 3 Gb/s,
Western Digital,CaviarGreen,3 TB,,5400RPM,64,"3.5""",SATA 3 Gb/s,
OCZ,Vertex 2,240 GB,,SSD,,"3.5""",SATA 3 Gb/s,
Kingston,SSDNow V+100,256 GB,,SSD,,"2.5""",SATA 3 Gb/s,
Western Digital,CaviarBlack,1.5 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Intel,320 Series,120 GB,,SSD,,"2.5""",SATA 3 Gb/s,
Seagate,Momentus 7200.4,320 GB,$0.553,7200RPM,16,"2.5""",SATA 3 Gb/s,177.00
OCZ,Solid 3,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Samsung,Spinpoint M8,750 GB,,5400RPM,8,"2.5""",SATA 3 Gb/s,
Intel,320 Series,160 GB,$1.250,SSD,,"2.5""",SATA 3 Gb/s,199.99
Toshiba,MK1656GSY,160 GB,,7200RPM,16,"2.5""",SATA 3 Gb/s,
Western Digital,AV-GP,1 TB,,7200RPM,16,"3.5""",SATA 6 Gb/s,
Patriot,Pyro SE,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
SanDisk,Ultra,60 GB,,SSD,,"2.5""",SATA 3 Gb/s,
Kingston,SSDNow V200 Series,128 GB,$0.611,SSD,,"2.5""",SATA 6 Gb/s,78.23
ADATA,S510 Series,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,Constellation ES,2 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Kingston,SSDNow S50 Series,16 GB,,SSD,,"2.5""",SATA 3 Gb/s,
Seagate,Spinpoint F3,500 GB,,7200RPM,16,"3.5""",SATA 3 Gb/s,
Kingston,HyperX,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
ADATA,XPG SX900,64 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,Constellation.2,1 TB,,7200RPM,64,"2.5""",SATA 6 Gb/s,
Hitachi,Travelstar 5K500.B,500 GB,$0.260,5400RPM,8,"2.5""",SATA 3 Gb/s,129.94
OCZ,RevoDrive X2,960 GB,,SSD,,PCI-E,PCIe x4,
PNY,XLR8,240 GB,$0.805,SSD,,"2.5""",SATA 6 Gb/s,193.26
Toshiba,MK2561GSYN,250 GB,,7200RPM,16,"2.5""",SATA 3 Gb/s,
Mushkin,Chronos,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Corsair,Neutron Series,256 GB,,SSD,,"2.5""",SATA 6 Gb/s,
SanDisk,Extreme II,480 GB,$0.400,SSD,,"2.5""",SATA 6 Gb/s,191.81
Hitachi,0F19847,4 TB,,5700RPM,64,"3.5""",SATA 6 Gb/s,
Seagate,Savvio,300 GB,,10000RPM,64,"2.5""",SATA 6 Gb/s,
OCZ,Vertex 450 Series,256 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Intel,SSD DC S3500 Series,80 GB,$2.114,SSD,,"2.5""",SATA 6 Gb/s,169.14
Intel,DC S3500 Series,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Kingston,SSDNow V+200,120 GB,$2.222,SSD,,"2.5""",SATA 6 Gb/s,266.58
Intel,Product Series:520,240 GB,$2.829,SSD,,"2.5""",SATA 6 Gb/s,679.00
Western Digital,WD3200BPVT/BVVT/BEVT,320 GB,,5400RPM,8,"2.5""",SATA 3 Gb/s,
Kingston,KC300,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
SanDisk,X110,64 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Samsung,840 EVO,250 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Toshiba,Q Series Pro,256 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Hitachi,Ultrastar 7K3000,3 TB,,7200RPM,64,"3.5""",SAS 6 Gb/s,
SanDisk,Extreme II,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Transcend,SSD340,128 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,600 Pro,120 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,600 Pro,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,600 Pro,480 GB,$0.292,SSD,,"2.5""",SATA 6 Gb/s,140.00
Intel,730 Series,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
ADATA,Premier SP610,128 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Transcend,SSD370,64 GB,$1.895,SSD,,"2.5""",SATA 6 Gb/s,121.28
Samsung,845DC EVO,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
ADATA,SP900 M.2,128 GB,,SSD,,M.2-2242,M.2 (B+M),
ADATA,SP900 M.2,256 GB,,SSD,,M.2-2280,M.2 (B+M),
Seagate,ST500LT033,500 GB,,5400RPM,16,"2.5""",SATA 6 Gb/s,
Toshiba,PH2050U-1SHD,500 GB,,Hybrid,32,"2.5""",SATA 6 Gb/s,
Axiom,Signature III,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Intel,X25-M Mainstream,80 GB,,SSD,,"2.5""",SATA 3 Gb/s,
Transcend,TS32GSSD370,32 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,ST2000NM0024,2 TB,$0.118,7200RPM,128,"3.5""",SATA 6 Gb/s,237.00
Western Digital,Black,250 GB,$0.236,7200RPM,32,"2.5""",SATA 6 Gb/s,58.95
OCZ,Vertex 460A,240 GB,,SSD,,"2.5""",SATA 6 Gb/s,
OCZ,Vertex 460A,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Toshiba,MD03ACA-V,2 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Toshiba,MD03ACA-V,3 TB,,7200RPM,64,"3.5""",SATA 6 Gb/s,
Transcend,TS32GMSA370,32 GB,$1.110,SSD,,mSATA,mSATA,35.51
Intel,DC S3500,1.2 TB,,SSD,,"2.5""",SATA 6 Gb/s,
Mushkin,Chronos,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,Archive HDD v2,5 TB,,5900RPM,128,"3.5""",SATA 6 Gb/s,
Corsair,Force LS,480 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Corsair,Force LS,960 GB,,SSD,,"2.5""",SATA 6 Gb/s,
OCZ,Trion 100,480 GB,$0.753,SSD,,"2.5""",SATA 6 Gb/s,361.28
Intel,SSDSC2BB080G601,80 GB,$1.613,SSD,,"2.5""",SATA 6 Gb/s,129.00
Intel,SSDSC2BB480G601,480 GB,$0.600,SSD,,"2.5""",SATA 6 Gb/s,287.95
Intel,SSDSCKJW240H601,240 GB,,SSD,,M.2-2280,M.2 (B+M),
ADATA,XPG SX930,240 GB,$1.782,SSD,,"2.5""",SATA 6 Gb/s,427.78
Patriot,Blast,960 GB,,SSD,256,"2.5""",SATA 6 Gb/s,
Transcend,TS512GSSD370S,512 GB,$0.361,SSD,,"2.5""",SATA 6 Gb/s,184.95
SanDisk,Z400s,64 GB,$1.171,SSD,,"2.5""",SATA 6 Gb/s,74.95
Toshiba,Q300 Pro,128 GB,$1.383,SSD,,"2.5""",SATA 6 Gb/s,177.00
Western Digital,RE,5 TB,$0.069,7200RPM,128,"3.5""",SATA 6 Gb/s,343.50
Mushkin,ECO2,512 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Intel,DC P3500,2 TB,,SSD,,PCI-E,PCIe x4,
Toshiba,Q300 Pro,512 GB,$0.996,SSD,,"2.5""",SATA 6 Gb/s,510.00
Toshiba,HDWJ110XZSTA,1 TB,,5400RPM,8,"2.5""",SATA 3 Gb/s,
Intel,540s,1 TB,,SSD,,"2.5""",SATA 6 Gb/s,
Zotac,T500,120 GB,,SSD,256,"2.5""",SATA 6 Gb/s,
Samsung,PM951,128 GB,,SSD,,M.2-2280,M.2 (M),
Kingston,SSDNow G2,240 GB,,SSD,,M.2-2280,M.2 (B+M),
Plextor,M8Pe,1 TB,,SSD,1024,M.2-2280,M.2 (M),
MyDigitalSSD,BPX,128 GB,,SSD,,M.2-2280,M.2 (M),
Transcend,TS960GSSD220S,960 GB,$0.116,SSD,,"2.5""",SATA 6 Gb/s,111.25
ADATA,SU900,1 TB,,SSD,,"2.5""",SATA 6 Gb/s,
Drevo,Ares,256 GB,,SSD,,PCI-E,PCIe x1,
Seagate,Barracuda ES,250 GB,$0.160,7200RPM,16,"3.5""",SATA 6 Gb/s,39.99
Drevo,X1 Pro,256 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Team,DELTA PHANTOM Gaming RGB,250 GB,,SSD,,"2.5""",SATA 6 Gb/s,
Seagate,Enterprise Capacity,1 TB,$0.183,7200RPM,128,"2.5""",SATA 6 Gb/s,182.99
Seagate,Enterprise Capacity,2 TB,$0.067,7200RPM,128,"3.5""",SATA 6 Gb/s,133.99
Seagate,Nytro Enterprise,1.92 TB,,SSD,,"2.5""",U.2,
Team,MS30,128 GB,,SSD,,M.2-2242,M.2 (B+M),
Team,MP32,512 GB,,SSD,,M.2-2280,M.2 (B+M),
Plextor,M8VC,512 GB,,SSD,512,"2.5""",SATA 6 Gb/s,
SanDisk,CloudSpeed Eco Gen. II,1.92 TB,$0.156,SSD,,"2.5""",SATA 6 Gb/s,299.91
Intel,DC P4101,2 TB,,SSD,,M.2-2280,M.2 (M),
Intel,D3-S4510,240 GB,$0.460,SSD,,"2.5""",SATA 6 Gb/s,110.40
Intel,DC S3110,256 GB,$0.621,SSD,,M.2-2280,M.2 (B+M),159.00
Western Digital,RedSA500,500 GB,,SSD,,M.2-2280,M.2 (B+M),
